,Unnamed: 0.1,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
77,70,3.70,  ZeroRaspberry syrupWith 30% fruit juice,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
78,71,3.70,SyrupPeach 30% with flavoring,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
79,72,0.95,  ZeroIced teaLemon,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
80,73,3.40,Iced teaPeach,Ice Tea,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
81,74,13.50, Well  AntioxidantVitamin waterPeach,Vitamin,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
82,75,12.50,-ClassicApple juice,M,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
83,76,5.95,Pineapple juice,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
84,77,3.55,-BudgetTable waterWith lemon flavor,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
85,78,5.30,Pink grapefruit juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
86,79,1.30,-BudgetOrange juice100% fruit juice,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
87,80,8.35,-BudgetApple spritzer,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
88,81,2.95,SmoothieMango & orange,You,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
89,82,1.–,Coca-Cola  ZeroLow-calorie caffeinated soft drinkLemon,unknown,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
90,83,8.95,Energy drinkSugar-free,Red Bull,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
91,84,3.70,SyrupBlackcurrant 30%,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
92,85,5.50,Orange juice without pulpPressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
93,86,1.–,-BudgetSmoothieStrawberry - banana,M,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
94,87,7.95,Iced teaLemon,Ice Tea,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
95,88,1.70,Iced teaLemon - Light,Ice Tea,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
96,89,1.30,  BioIced teaSwiss Alpine herbs - without sugar,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
97,90,0.95,  MaxSoft drink,Pepsi,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
98,91,1.30,Terme di Crodo  LemonSodaSoft drinkLemon,unknown,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
99,92,2.25, Well  HydrateVitamin waterStrawberry & rhubarb,Vitamin,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
100,93,8.95,  BioIced teaSwiss Alpine herbs,Ice Tea,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
101,94,1.30,Terme di Crodo  OranSodaSoft drinkOrange,unknown,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
102,95,1.65,igros BioOrange juice,M,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
103,96,4.95,igros BioMultifruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
104,97,7.80,  TonicCarbonated soft drink,Fever Tree,0.8,"Coffe, Drinks and Tea",Migros,2023-05-24
105,98,1.20,  MaxSoft drinkCherry,Pepsi,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
106,99,4.95,igros BioRaspberry syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
107,100,3.45,-BudgetSyrupBerries,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
108,101,2.50,SyrupBlood orange 30% with flavoring,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
109,102,2.80,  Bio EnergyEnergy drink,Biotta,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
110,103,1.10,Green tea,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
111,104,1.95,NectarMango,Sarasay,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
112,105,3.70,SyrupIce Tea Lemon,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
113,106,2.10,Iced teaPeach,Ice Tea,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
114,107,4.95,SyrupBerries,Sirup,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
115,108,3.70,SyrupExotic,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
116,109,2.25,NectarTomato juice,Sarasay,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
117,110,7.80,  Raspberry & Rhubarb TonicCarbonated lemonade,Fever Tree,0.8,"Coffe, Drinks and Tea",Migros,2023-05-24
118,111,7.95,Sparkling mineral water with natural flavorsLemon,Aproz,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
119,112,1.25,Lime juice,Sicilia,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
120,113,3.90,Carbonated soft drinkPassion fruit,Bundaberg,0.375,"Coffe, Drinks and Tea",Migros,2023-05-24
121,114,1.75,-ClassicRed grape juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
122,115,2.95,Pineapple juice,Anna's Best,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
123,116,2.35,Natural coconut drink,Alnatura,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
124,117,2.25,Orange juice,Alnatura,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
125,118,3.70,SyrupPink grapefruit 30% with flavoring,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
126,119,2.95,Fruit juiceFruit mix,Anna's Best,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
127,120,6.–,-BudgetFruit juiceTropical,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
128,121,16.50,Orange fruit juiceOrange,Sarasay,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
129,122,3.30,-BudgetBlood orange juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
130,123,1.40,Drink with guarana extract,Guaraná Antarctica,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
131,124,7.40,LemonadeTropical fruit flavor,Oasis,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
132,125,1.65,-BudgetApple juiceApple juice concentrate,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
133,126,0.80,Iced teaStar fruit juice and lotus blossom flavor,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
134,127,14.95,Carbonated drinkRefresh,Rivella,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
135,128,2.25, Well  ActiveVitamin waterAppel,Vitamin,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
136,129,2.80,Iced teaLemon - Light,Ice Tea,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
137,130,1.10,Iced tea Blueberry,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
138,131,1.10,Iced tea Cynorrhodon & Hibiscus,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
139,132,1.10,Iced teaWatermelon,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
140,133,2.95,SmoothieRaspberry & apple,You,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
141,134,1.90,"  Mate & MintRefreshing drinkMate, guarana extract, caffeine",El Tony,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
142,135,1.45,Carrot juice fresh from the field,Alnatura,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
143,136,3.90,Carbonated soft drinkPink Grepfruit,Bundaberg,0.375,"Coffe, Drinks and Tea",Migros,2023-05-24
144,137,1.95,SyrupMint,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
145,138,1.70,Energy drinkThe Summer Edition,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
146,139,7.90,orandSyrupAbricot,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
147,140,3.70,SyrupMojito (alcohol-free),Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
148,141,1.95,NectarWilliams pears,Sarasay,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
149,142,2.25, Well  UpgradeVitamin waterLemon & cactus,Vitamin,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
150,143,7.80,  Ginger BeerCarbonated soft drink,Fever Tree,0.8,"Coffe, Drinks and Tea",Migros,2023-05-24
151,144,2.95,Orange and mango fruit juiceOrange & mango,Sarasay,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
152,145,3.95,Organic breakfast drink,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
153,146,3.95,SyrupOranges with 30% fruit juice,Sirup,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
154,147,3.70,  ZeroPeach and mango syrupWith 30% fruit juice,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
155,148,2.10,Lime juice,Alnatura,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
156,149,2.50,"NOCCODrinks with vitamins, caffeine and amino acidsMiami",unknown,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
157,150,1.95,-Classic  VitalFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
158,151,4.95,igros BioGinger Lemon syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
159,152,2.95,"SmoothieApple, Carrot, Ginger, Orange",You,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
160,153,2.95,igros DailyMigros Daily Vitaminwater Blue,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
161,154,2.85,Refreshing drinkCucumber juice base,Cucumis,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
162,155,3.70,"  ZeroLow-calorie lime syrup with fruit juice, mint and elderflowerHugo alcohol-free, with 30% fruit juice",Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
163,156,1.30,Terme di Crodo  MojitoSodaNon-alcoholic drinkMojito,unknown,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
164,157,2.95,Organic vegetable cocktailWith sea salt and aromatic herbs,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
165,158,2.95,SmoothieGinger & coconut,You,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
166,159,1.55,Tomato juice with sea salt,Alnatura,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
167,160,10.95,  BiondoAlcohol free aperitive,Crodino,1.0499999999999998,"Coffe, Drinks and Tea",Migros,2023-05-24
168,161,2.50,"NOCCODrinks with vitamins, caffeine and amino acidsLimon del Sol",unknown,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
169,162,7.80,  Mediterranean TonicCarbonated lemonade,Fever Tree,0.8,"Coffe, Drinks and Tea",Migros,2023-05-24
170,163,2.15,-Classic  FairtradePineapple juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
171,164,16.50,  FairtradeFruit juice mixMultivitamin,Sarasay,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
172,165,2.70,Ginger waterGinger,You,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
173,166,2.95,Boisson électrolytiqueCool blue Raspberry,Gatorade,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
174,167,1.80,  MultivitamineMultivitamin fruit juiceWith 12% fruit juice,Capri Sun,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
175,168,6.40,Alnavit Ingwer Saft,Alnavit,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
176,169,8.95,Bio Ingwersaft Ingo,unknown,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
177,170,1.10,  BioIced teaSwiss Alpine herbs,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
178,171,4.–,Natural coconut drink,Alnatura,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
179,172,7.95,  MaxSoft drink,Pepsi,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
180,173,1.70,Energy DrinkThe Green Edition,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
181,174,7.95,Organic Sparkling mineral water with natural flavorsElderflower,Aproz,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
182,175,1.30,  BioIced teaGreen tea mint,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
183,176,4.95,Organic Pomegranate juiceWith white tea extract,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
184,177,3.40,Fruit juiceBlood orange,Anna's Best,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
185,178,1.50,onsterEnergy drink,M,0.355,"Coffe, Drinks and Tea",Migros,2023-05-24
186,179,4.60,igros BioOrange-carrot & agave-lemon juice,M,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
187,180,0.50,Iced teaPeach,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
188,181,7.95,Iced teaPeach,Ice Tea,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
189,182,1.50,onster  UltraEnergy drinkZero,M,0.355,"Coffe, Drinks and Tea",Migros,2023-05-24
190,183,4.95,igros BioRhubarb syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
191,184,1.70,Energy drinkThe White Edition,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
192,185,2.95,Mild organic apple juice,Alnatura,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
193,186,2.95,ild organic apple juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
194,187,3.50,Pink grapefruit juice,Alnatura,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
195,188,2.95,Organic Carrot juice,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
196,189,1.70,Energy drinkThe Red Edition,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
197,190,6.40,Natural mineral waterStill,Valais,4.5,"Coffe, Drinks and Tea",Migros,2023-05-24
198,191,3.60,Aus der Region Gemüsegarten,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
199,192,13.90,Bio Ingwersaft Ingrid,unknown,0.1,"Coffe, Drinks and Tea",Migros,2023-05-24
200,193,2.20,NectarApricots,Sarasay,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
201,194,2.10,VYTEVitamin waterBerry Mix,unknown,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
202,195,1.30,  BioIced teaBlack tea Lemon,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
203,196,1.95,-Classic  DaylightFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
204,197,0.95,Soft drinkRegular,Pepsi,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
205,198,6.95,  KombuchaFermented herbal tea drinkClassic,Carpe Diem,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
206,199,1.55,Grape juice,Alnatura,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
207,200,11.70,  EssenceFlavored mineral waterMint & cucumber,Volvic,4.5,"Coffe, Drinks and Tea",Migros,2023-05-24
208,201,2.35,Apple juice,Alnatura,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
209,202,8.90,orandSyrupStrawberry,M,0.495,"Coffe, Drinks and Tea",Migros,2023-05-24
210,203,2.80,  BioIce teaMate,Charitea,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
211,204,1.–,-BudgetSmoothiePineapple - coconut,M,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
212,205,1.80,  OrangeMultivitamin fruit juiceWith 12% fruit juice,Capri Sun,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
213,206,8.30,Drink with orange pulp,Orangina,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
214,207,4.40,  DemeterOrganic fruit & vegetable juiceCarrot-Orange-Ginger,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
215,208,1.20,  ZeroLow calorie lemonadeRapsberry,Fanta,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
216,209,1.95,NectarPeach,Sarasay,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
217,210,5.95,Nectar orange et passionOrange Passion,Anna's Best,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
218,211,1.95,-Classic  Good MorningFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
219,212,2.95,YOUYOU Smoothie Apfel Zucchini,unknown,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
220,213,1.95,  ZeroIce teaLemon,Dirtea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
221,214,2.95,Sudden Rush Guarana Xtra Strong,Sudden Rush,0.011,"Coffe, Drinks and Tea",Migros,2023-05-24
222,215,3.30,Sudden Rush Guarana Medium,Sudden Rush,0.011,"Coffe, Drinks and Tea",Migros,2023-05-24
223,216,1.50,Red Bull Energy Drink,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
224,217,1.50,Red Bull Sugarfree,Red Bull,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
225,218,1.90,El Tony Mate & Ginger,El Tony,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
226,219,0.95,en Eagle Energy Drink,Gold,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
227,220,0.55,-BudgetM-BUD ENERGY POMEGR. ,M,250.25,"Coffe, Drinks and Tea",Migros,2023-05-24
228,221,0.55,-BudgetM-Budget Energy Drink,M,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
229,222,1.95,-Classic  IronFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
230,223,1.30,  Simply FreshIced teaMint,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
231,224,6.95,  MoscatoJus de raisin muscat,Sélection,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
232,225,1.–,Carbonated soft drinkLemon & lime flavors,Aproz,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
233,226,1.95,"-Classic  Bun DiFruit juiceOrange, grape and mango",M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
234,227,4.95,Cranberry juiceWith tea extract and agave concentrate,Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
235,228,8.90,orandSyrupMint,M,0.495,"Coffe, Drinks and Tea",Migros,2023-05-24
236,229,3.95,"  Mango MixOrganic fruit cocktailWith grape juice, pear juice and apple juice",Biotta,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
